trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.2, 'e': 0.6556592205741436}",20,0,-54.504627025958285,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
43,False,"{'a': 0.2, 'e': 0.6491026283684022}",20,5,-14.079602064171022,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.2, 'e': 0.6426116020847181}",20,4,-41.72043825083842,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
45,False,"{'a': 0.2, 'e': 0.6361854860638709}",25,0,-49.65401822271417,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
46,False,"{'a': 0.2, 'e': 0.6298236312032323}",30,0,-88.39164839125144,"{0: 22, 1: 0, 2: 6, 3: 1, 4: 1}",0
47,False,"{'a': 0.2, 'e': 0.6235253948912}",20,0,-40.58637045084082,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
48,False,"{'a': 0.2, 'e': 0.617290140942288}",35,0,-38.96854516872163,"{0: 27, 1: 1, 2: 7, 3: 0, 4: 0}",0
49,False,"{'a': 0.2, 'e': 0.6111172395328651}",35,0,-86.47655124261719,"{0: 29, 1: 2, 2: 1, 3: 1, 4: 2}",0
50,False,"{'a': 0.2, 'e': 0.6050060671375365}",20,0,-20.351160199607897,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
51,False,"{'a': 0.2, 'e': 0.5989560064661611}",30,3,-75.76057018811028,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 2}",1
52,False,"{'a': 0.2, 'e': 0.5929664464014994}",25,0,-14.412283011732757,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
53,False,"{'a': 0.2, 'e': 0.5870367819374844}",30,0,-148.4126277216476,"{0: 22, 1: 1, 2: 3, 3: 1, 4: 3}",0
54,False,"{'a': 0.2, 'e': 0.5811664141181095}",25,0,-93.64485222148262,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
55,False,"{'a': 0.2, 'e': 0.5753547499769285}",25,5,-19.883860085335588,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
56,False,"{'a': 0.2, 'e': 0.5696012024771592}",20,0,-34.63283113145037,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
57,False,"{'a': 0.2, 'e': 0.5639051904523876}",20,0,-53.66671970889842,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
58,False,"{'a': 0.2, 'e': 0.5582661385478638}",25,14,-22.67978015448232,"{0: 9, 1: 0, 2: 0, 3: 2, 4: 0}",1
59,False,"{'a': 0.2, 'e': 0.5526834771623851}",20,0,-37.340704315706866,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
60,False,"{'a': 0.2, 'e': 0.5471566423907612}",20,3,-67.01399247408293,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 1}",1
61,False,"{'a': 0.2, 'e': 0.5416850759668536}",20,0,-16.147806164668516,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
62,False,"{'a': 0.2, 'e': 0.536268225207185}",30,0,-66.12369631921311,"{0: 22, 1: 4, 2: 2, 3: 1, 4: 1}",1
63,False,"{'a': 0.2, 'e': 0.5309055429551132}",20,9,-23.7963051184954,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
64,False,"{'a': 0.2, 'e': 0.525596487525562}",20,6,-57.426585341831775,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
65,False,"{'a': 0.2, 'e': 0.5203405226503064}",20,12,14.827186042791455,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
